lat,lon,name,operator,opening_hours,Unnamed: 5,prixDiesel,prixDieselExcellium,prixEssence95,prixEssence98,prixLPG,derniereModification,url
49.2254858,15.8776394,SVA,,,,39.41,,40.68,,24.24,17-06-2026,https://www.mbenzin.cz/
49.6614848,17.1036771,"PapOil, Unčovice","MOL Česká republika, s.r.o.",05:00-22:00,,39.33,,40.91,,24.36,17-06-2026,https://www.mbenzin.cz/
49.5828259,17.2446565,Shell,,Mo-Su 06:00-22:00,,40.69,,42.87,,24.9,17-06-2026,https://www.mbenzin.cz/
49.6807156,17.2253032,BEN-PE,,08:00-20:00,,39.15,,41.54,,24.33,17-06-2026,https://www.mbenzin.cz/
49.7164232,17.0767537,Shell,,,,40.54,,42.91,,24.91,17-06-2026,https://www.mbenzin.cz/
49.6902391,17.0754049,Avia,,Mo-Fr 06:00-20:00; Sa-Su 07:00-20:00,,38.91,,40.11,,24.18,17-06-2026,https://www.mbenzin.cz/
50.1621963,12.2705575,,,24/7,,39.83,,40.81,,24.15,17-06-2026,https://www.mbenzin.cz/
50.1602387,12.2791055,,,08:00-17:00,,38.93,,40.71,,23.99,17-06-2026,https://www.mbenzin.cz/
50.1716226,12.3146707,RoBiN OIL Vojtanov,RoBiN OIL s.r.o.,24/7,,39.05,,41.57,,23.99,17-06-2026,https://www.mbenzin.cz/
48.8538727,16.5984081,Avia,,Mo-Su 06:00-21:00,,38.8,,40.35,,24.2,17-06-2026,https://www.mbenzin.cz/
50.034361,14.4446316,RS Petrol,"RS Petrol, s.r.o.",24/7,,39.99,,41.47,,24.43,17-06-2026,https://www.mbenzin.cz/
49.821625,14.3859574,Warman,"Warman, s.r.o.",Mo-Su 06:00-21:00,,39.15,,40.98,,24.62,17-06-2026,https://www.mbenzin.cz/
49.6675132,17.3047421,"Eurobit, Bohuňovice",EUROBIT - čerpací stanice s.r.o.,24/7,,38.31,,40.41,,24.14,17-06-2026,https://www.mbenzin.cz/
49.7247537,17.2850409,Avia Šternberk,ALBEVA MORAVA s.r.o.,"Mo-Fr 04:30-22:30; Sa,Su 05:30-21:30",,39.38,,41.21,,24.03,17-06-2026,https://www.mbenzin.cz/
49.7439745,13.5812962,"MOL, Rokycany","MOL Česká republika, s.r.o.",24/7,,40.79,,42.65,,24.73,17-06-2026,https://www.mbenzin.cz/
50.1274567,12.3581804,MOL,MOL Česká republika,Mo-Su 05:30-22:00,,40.19,,42.11,,24.44,17-06-2026,https://www.mbenzin.cz/
50.0859028,12.4034173,Schnell,,,,39.69,,40.82,,24.7,17-06-2026,https://www.mbenzin.cz/
50.2273218,12.7450861,"KM-Prona, Chodov u Sokolova","KM - PRONA, a.s.",24/7,,38.43,,40.88,,23.81,17-06-2026,https://www.mbenzin.cz/
